"swbi","iDeaths","iCases","FTSEMIB","iCoronaVirus","iCoronaVirusNews","iCovid","iCovidNews","iRt","iUnemployment","iUnemploymentNews","iEconomy","iEconomyNews","iGDP","iGDPNews","iStress","iDepression","iHealth","iSolitude","iInsomnia","iResidential","iWorkplace","ipm25","itemperature","iWuhan","iAdultContent","iFB.CLI","iFB.ILI","iFB.MC","iFB.DC","iFB.HF","ilockdown"
51.905103420898,NA,NA,23828,0.214285714285714,0,0,0,37.2857142857143,25.2857142857143,15.8571428571429,62.2857142857143,65,32.4285714285714,73,49.7142857142857,84.1428571428571,16.8571428571429,66,56.5714285714286,NA,NA,NA,NA,NA,78.7142857142857,NA,NA,NA,NA,NA,0
51.6982418708508,NA,NA,23793,0.285714285714286,0,0,0,38.7142857142857,26.7142857142857,21.1428571428571,63.7142857142857,64,32.5714285714286,71,51.2857142857143,81.8571428571429,17.1428571428571,66,59.4285714285714,NA,NA,NA,NA,NA,78.2857142857143,NA,NA,NA,NA,NA,0
51.5311042881759,NA,NA,23758,0.357142857142857,0,0,0,40.1428571428571,28.1428571428571,26.4285714285714,65.1428571428571,63,32.7142857142857,69,52.8571428571429,79.5714285714286,17.4285714285714,66,62.2857142857143,NA,NA,NA,NA,NA,77.8571428571429,NA,NA,NA,NA,NA,0
51.2138753279407,NA,NA,23674,0.428571428571429,0,0,0,41.5714285714286,29.5714285714286,31.7142857142857,66.5714285714286,62,32.8571428571429,67,54.4285714285714,77.2857142857143,17.7142857142857,66,65.1428571428571,NA,NA,NA,NA,NA,77.4285714285714,NA,NA,NA,NA,NA,0
50.2233807716863,NA,NA,23590,0.5,0,0,0,43,31,37,68,61,33,65,56,75,18,66,68,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,0
49.7790260315904,NA,NA,23506,0.571428571428571,0,0,0,43.5714285714286,32.1428571428571,38.5714285714286,70.1428571428571,59.2857142857143,34,62.7142857142857,56.7142857142857,78.5714285714286,18.4285714285714,64.4285714285714,70.5714285714286,NA,NA,NA,NA,NA,76.1428571428571,NA,NA,NA,NA,NA,0
51.253410754661,NA,NA,23616,0.642857142857143,0,0,0,44.1428571428571,33.2857142857143,40.1428571428571,72.2857142857143,57.5714285714286,35,60.4285714285714,57.4285714285714,82.1428571428571,18.8571428571429,62.8571428571429,73.1428571428571,NA,NA,NA,NA,NA,75.2857142857143,NA,NA,NA,NA,NA,0
52.1021312425883,NA,NA,23726,0.714285714285714,0,0,0,44.7142857142857,34.4285714285714,41.7142857142857,74.4285714285714,55.8571428571429,36,58.1428571428571,58.1428571428571,85.7142857142857,19.2857142857143,61.2857142857143,75.7142857142857,NA,NA,NA,NA,NA,74.4285714285714,NA,NA,NA,NA,NA,0
52.0458339190953,NA,NA,23836,0.785714285714286,0,0,0,45.2857142857143,35.5714285714286,43.2857142857143,76.5714285714286,54.1428571428571,37,55.8571428571429,58.8571428571429,89.2857142857143,19.7142857142857,59.7142857142857,78.2857142857143,NA,NA,NA,NA,NA,73.5714285714286,NA,NA,NA,NA,NA,0
51.2820353112949,0,0,23702,0.857142857142857,0,0,0,45.8571428571429,36.7142857142857,44.8571428571429,78.7142857142857,52.4285714285714,38,53.5714285714286,59.5714285714286,92.8571428571429,20.1428571428571,58.1428571428571,80.8571428571429,NA,NA,NA,NA,NA,72.7142857142857,NA,NA,NA,NA,NA,0
