"swbj","jDeaths","jCases","NIKKEI","jCoronaVirus","jCoronaVirusNews","jCorona","jCoronaNews","jCovid","jCovidNews","jUnemployment","jUnemploymentNews","jEconomy","jEconomyNews","jGDP","jGDPNews","jStress","jDepression","jHealth","jSolitude","jInsomnia","jResidential","jWorkplace","jpm25","jtemperature","jWuhan","jAdultContent","jFB.CLI","jFB.ILI","jFB.MC","jFB.DC","jFB.HF","jlockdown"
34.1895672510341,NA,NA,23529.5,0,0,NA,0,0,0,42.2857142857143,46,65.2857142857143,63.7142857142857,26.8571428571429,31.5714285714286,34.8571428571429,68.8571428571429,78.2857142857143,76.5714285714286,65.4285714285714,NA,NA,NA,NA,1,60.4285714285714,NA,NA,NA,NA,NA,0
32.6946937112504,NA,NA,23379.810547,0,0,NA,0,0,0,42.5714285714286,48,64.5714285714286,62.4285714285714,26.7142857142857,34.1428571428571,33.7142857142857,69.7142857142857,79.5714285714286,76.1428571428571,65.8571428571429,NA,NA,NA,NA,1,60.8571428571429,NA,NA,NA,NA,NA,0
33.6667874198555,NA,NA,23135.230469,0,0,NA,0,0,0,42.8571428571429,50,63.8571428571429,61.1428571428571,26.5714285714286,36.7142857142857,32.5714285714286,70.5714285714286,80.8571428571429,75.7142857142857,66.2857142857143,NA,NA,NA,NA,1,61.2857142857143,NA,NA,NA,NA,NA,0
34.3161244207841,NA,NA,23300.089844,0,0,NA,0,0,0,43.1428571428571,52,63.1428571428571,59.8571428571429,26.4285714285714,39.2857142857143,31.4285714285714,71.4285714285714,82.1428571428571,75.2857142857143,66.7142857142857,NA,NA,NA,NA,1,61.7142857142857,NA,NA,NA,NA,NA,0
32.2543464102876,NA,NA,23354.400391,0,0,NA,0,0,0,43.4285714285714,54,62.4285714285714,58.5714285714286,26.2857142857143,41.8571428571429,30.2857142857143,72.2857142857143,83.4285714285714,74.8571428571429,67.1428571428571,NA,NA,NA,NA,1,62.1428571428571,NA,NA,NA,NA,NA,0
32.8543023490894,NA,NA,23379.8333336667,0,0,NA,0,0,0,43.7142857142857,56,61.7142857142857,57.2857142857143,26.1428571428571,44.4285714285714,29.1428571428571,73.1428571428571,84.7142857142857,74.4285714285714,67.5714285714286,NA,NA,NA,NA,1,62.5714285714286,NA,NA,NA,NA,NA,0
32.1712994737699,NA,NA,23405.2662763333,0,0,NA,0,0,0,44,58,61,56,26,47,28,74,86,74,68,NA,NA,NA,NA,1,63,NA,NA,NA,NA,NA,0
31.9862815108143,NA,NA,23430.699219,0,0,NA,0,0,0,44,58.1428571428571,60.7142857142857,51.1428571428571,26.2857142857143,44.4285714285714,29,74.7142857142857,85.1428571428571,74.4285714285714,68.2857142857143,NA,NA,NA,NA,1,63.1428571428571,NA,NA,NA,NA,NA,0
32.8511657051881,NA,NA,23410.189453,0,0,NA,0,0,0,44,58.2857142857143,60.4285714285714,46.2857142857143,26.5714285714286,41.8571428571429,30,75.4285714285714,84.2857142857143,74.8571428571429,68.5714285714286,NA,NA,NA,NA,1,63.2857142857143,NA,NA,NA,NA,NA,0
35.4586215236375,NA,NA,23391.859375,0,0,NA,0,0,0,44,58.4285714285714,60.1428571428571,41.4285714285714,26.8571428571429,39.2857142857143,31,76.1428571428571,83.4285714285714,75.2857142857143,68.8571428571429,NA,NA,NA,NA,1,63.4285714285714,NA,NA,NA,NA,NA,0
35.2998552777221,NA,NA,23424.810547,0,0,NA,0,0,0,44,58.5714285714286,59.8571428571429,36.5714285714286,27.1428571428571,36.7142857142857,32,76.8571428571429,82.5714285714286,75.7142857142857,69.1428571428571,NA,NA,NA,NA,1,63.5714285714286,NA,NA,NA,NA,NA,0
39.5671224092226,NA,NA,24023.099609,0,0,NA,0,0,0,44,58.7142857142857,59.5714285714286,31.7142857142857,27.4285714285714,34.1428571428571,33,77.5714285714286,81.7142857142857,76.1428571428571,69.4285714285714,NA,NA,NA,NA,1,63.7142857142857,NA,NA,NA,NA,NA,0
34.9047834167886,NA,NA,23999.5162756667,0,0,NA,0,0,0,44,58.8571428571429,59.2857142857143,26.8571428571429,27.7142857142857,31.5714285714286,34,78.2857142857143,80.8571428571429,76.5714285714286,69.7142857142857,NA,NA,NA,NA,1,63.8571428571429,NA,NA,NA,NA,NA,0
40.8573685485807,NA,NA,23975.9329423333,0,0,NA,0,0,0,44,59,59,22,28,29,35,79,80,77,70,NA,NA,NA,NA,1,64,NA,NA,NA,NA,NA,0
40.6528968117887,NA,NA,23952.349609,0,0,NA,0,0,0,42.5714285714286,50.5714285714286,57.4285714285714,22.8571428571429,27,29.1428571428571,36,78,79.2857142857143,76.4285714285714,68.7142857142857,NA,NA,NA,NA,1,64.2857142857143,NA,NA,NA,NA,NA,0
40.3743478535274,NA,NA,24066.119141,0,0,NA,0,0,0,41.1428571428571,42.1428571428571,55.8571428571429,23.7142857142857,26,29.2857142857143,37,77,78.5714285714286,75.8571428571429,67.4285714285714,NA,NA,NA,NA,1,64.5714285714286,NA,NA,NA,NA,NA,0
39.8378405399511,NA,NA,23934.429688,0,0,NA,0,0,0,39.7142857142857,33.7142857142857,54.2857142857143,24.5714285714286,25,29.4285714285714,38,76,77.8571428571429,75.2857142857143,66.1428571428571,NA,NA,NA,NA,1,64.8571428571429,NA,NA,NA,NA,NA,0
39.8094901596275,NA,NA,23864.849609,0,0,NA,0,0,0,38.2857142857143,25.2857142857143,52.7142857142857,25.4285714285714,24,29.5714285714286,39,75,77.1428571428571,74.7142857142857,64.8571428571429,NA,NA,NA,NA,1,65.1428571428571,NA,NA,NA,NA,NA,0
36.182148662962,NA,NA,23816.630859,0,0,NA,0,0,0,36.8571428571429,16.8571428571429,51.1428571428571,26.2857142857143,23,29.7142857142857,40,74,76.4285714285714,74.1428571428571,63.5714285714286,NA,NA,NA,NA,1,65.4285714285714,NA,NA,NA,NA,NA,0
36.8908315128736,NA,NA,23818.1236976667,0,0,NA,0,0,0,35.4285714285714,8.42857142857143,49.5714285714286,27.1428571428571,22,29.8571428571429,41,73,75.7142857142857,73.5714285714286,62.2857142857143,NA,NA,NA,NA,1,65.7142857142857,NA,NA,NA,NA,NA,0
32.9005251857642,NA,NA,23819.6165363333,0,0,NA,0,0,0,34,0,48,28,21,30,42,72,75,73,61,NA,NA,NA,NA,1,66,NA,NA,NA,NA,NA,0
33.8286256359575,NA,NA,23821.109375,0.214285714285714,0,NA,0.214285714285714,0,0,32.1428571428571,0,46.7142857142857,27.7142857142857,20.8571428571429,30.4285714285714,44,69.1428571428571,73.7142857142857,73.2857142857143,59,NA,NA,NA,NA,1,66.1428571428571,NA,NA,NA,NA,NA,0
35.7591576425928,NA,NA,23830.580078,0.428571428571429,0,NA,0.428571428571429,0,0,30.2857142857143,0,45.4285714285714,27.4285714285714,20.7142857142857,30.8571428571429,46,66.2857142857143,72.4285714285714,73.5714285714286,57,NA,NA,NA,NA,1,66.2857142857143,NA,NA,NA,NA,NA,0
32.7709822259075,NA,NA,23782.869141,0.642857142857143,0,NA,0.642857142857143,0,0,28.4285714285714,0,44.1428571428571,27.1428571428571,20.5714285714286,31.2857142857143,48,63.4285714285714,71.1428571428571,73.8571428571429,55,NA,NA,NA,NA,1,66.4285714285714,NA,NA,NA,NA,NA,0
32.5239403234683,NA,NA,23924.919922,0.857142857142857,0,NA,0.857142857142857,0,0,26.5714285714286,0,42.8571428571429,26.8571428571429,20.4285714285714,31.7142857142857,50,60.5714285714286,69.8571428571429,74.1428571428571,53,NA,NA,NA,NA,1,66.5714285714286,NA,NA,NA,NA,NA,0
32.8673159514103,NA,NA,23837.720703,1.07142857142857,0,NA,1.07142857142857,0,0,24.7142857142857,0,41.5714285714286,26.5714285714286,20.2857142857143,32.1428571428571,52,57.7142857142857,68.5714285714286,74.4285714285714,51,NA,NA,NA,NA,1,66.7142857142857,NA,NA,NA,NA,NA,0
31.2647646490506,NA,NA,23777.3535156667,1.28571428571429,0,NA,1.28571428571429,0,0,22.8571428571429,0,40.2857142857143,26.2857142857143,20.1428571428571,32.5714285714286,54,54.8571428571429,67.2857142857143,74.7142857142857,49,NA,NA,NA,NA,1,66.8571428571429,NA,NA,NA,NA,NA,0
31.5728863033873,NA,NA,23716.9863283333,1.5,0,NA,1.5,0,0,21,0,39,26,20,33,56,52,66,75,47,NA,NA,NA,NA,1,67,NA,NA,NA,NA,NA,0
30.8457775553473,NA,NA,23656.619141,1.71428571428571,0,NA,1.71428571428571,0,0,24.7142857142857,8,43.2857142857143,29,21,32.2857142857143,56.8571428571429,56.4285714285714,69,74.8571428571429,52.8571428571429,NA,NA,NA,NA,1.28571428571429,67.1428571428571,NA,NA,NA,NA,NA,0
29.1851888822289,NA,NA,23592.0820315714,1.92857142857143,0,NA,1.92857142857143,0,0,28.4285714285714,16,47.5714285714286,32,22,31.5714285714286,57.7142857142857,60.8571428571429,72,74.7142857142857,58.7142857142857,NA,NA,NA,NA,1.57142857142857,67.2857142857143,NA,NA,NA,NA,NA,0
30.9462727493275,NA,NA,23527.5449221429,2.14285714285714,0,NA,2.14285714285714,0,0,32.1428571428571,24,51.8571428571429,35,23,30.8571428571429,58.5714285714286,65.2857142857143,75,74.5714285714286,64.5714285714286,NA,NA,NA,NA,1.85714285714286,67.4285714285714,NA,NA,NA,NA,NA,0
30.7146581777287,NA,NA,23463.0078127143,2.35714285714286,0,NA,2.35714285714286,0,0,35.8571428571429,32,56.1428571428571,38,24,30.1428571428571,59.4285714285714,69.7142857142857,78,74.4285714285714,70.4285714285714,NA,NA,NA,NA,2.14285714285714,67.5714285714286,NA,NA,NA,NA,NA,0
30.4090734288102,0,0,23398.4707032857,2.57142857142857,0,NA,2.57142857142857,0,0,39.5714285714286,40,60.4285714285714,41,25,29.4285714285714,60.2857142857143,74.1428571428571,81,74.2857142857143,76.2857142857143,NA,NA,NA,NA,2.42857142857143,67.7142857142857,NA,NA,NA,NA,NA,0
